url,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,Bed&Bath,amenities,price,guests_included,extra_people
https://www.airbnb.com/rooms/1668313,Roslindale,42.28194183,-71.1333719,House,Private room,1,1,1,1b1b,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$57.00 ,1,$0.00 
https://www.airbnb.com/rooms/12855396,Jamaica Plain,42.32423675,-71.10812405,House,Private room,1,1,1,1b1b,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating}",$57.00 ,1,$0.00 
https://www.airbnb.com/rooms/11799482,Fenway,42.34412911,-71.09050917,Apartment,Private room,1,1.5,1,1b2b,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Lock on Bedroom Door"",""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$57.00 ,1,$0.00 
https://www.airbnb.com/rooms/9239190,Dorchester,42.2908909,-71.06018763,House,Private room,2,,1,1b1b,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",$57.00 ,1,$12.00 
https://www.airbnb.com/rooms/12738641,South Boston,42.33482118,-71.04921201,Apartment,Private room,1,1,1,1b1b,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",$57.00 ,1,$0.00 
https://www.airbnb.com/rooms/753446,Roslindale,42.28587764,-71.12490956,Condominium,Private room,2,1,1,1b1b,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",$58.00 ,2,$0.00 
https://www.airbnb.com/rooms/9953144,Brighton,42.35602509,-71.13878861,House,Private room,1,1.5,1,1b2b,"{Internet,""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Cat(s),Heating,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$58.00 ,1,$0.00 
https://www.airbnb.com/rooms/13584884,Brighton,42.35940978,-71.14319145,Apartment,Private room,2,1,1,1b1b,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$58.00 ,2,$10.00 
https://www.airbnb.com/rooms/7420789,Brighton,42.35824517,-71.15306801,House,Shared room,1,1.5,1,1b2b,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$58.00 ,1,$0.00 
https://www.airbnb.com/rooms/11626869,Hyde Park,42.26769074,-71.12566041,House,Private room,2,1.5,1,1b2b,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",$58.00 ,1,$0.00 
